antecedents,consequents,orig_support,orig_confidence,Reject Option Classification_support,Reject Option Classification_confidence,Equalized Odds_support,Equalized Odds_confidence,Calibrated EO_support,Calibrated EO_confidence,Threshold Optimizer_support,Threshold Optimizer_confidence
"frozenset({'male', 'juv_misd=0', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.372,0.901,,,0.412,1.0,0.331,0.803
"frozenset({'c_felony', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.545,0.9,,,0.553,0.913,0.501,0.827
"frozenset({'male', 'n_white', 'juv_fel=0', 'juv_misd=0', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,0.175,0.9,,,0.195,1.0,0.17,0.872
"frozenset({'c_felony', 'Age (decade)_20.0', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.24,0.898,,,0.235,0.882,0.235,0.88
"frozenset({'c_felony', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.557,0.896,,,0.565,0.908,0.507,0.816
"frozenset({'Age (decade)_20.0', 'juv_misd=0', 'n_white'})",frozenset({'risk_low'}),,,0.225,0.894,,,0.251,1.0,0.219,0.871
"frozenset({'male', 'c_felony', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.439,0.894,,,0.459,0.934,0.399,0.813
"frozenset({'c_felony', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.249,0.893,,,0.244,0.876,0.24,0.858
"frozenset({'male', 'c_felony', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.45,0.892,,,0.468,0.928,0.405,0.802
"frozenset({'male', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.296,0.891,,,0.306,0.92,0.284,0.853
"frozenset({'juv_misd=0', 'n_white', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),,,0.307,0.89,,,0.345,1.0,,
"frozenset({'n_white', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.474,0.887,,,0.534,1.0,0.429,0.803
"frozenset({'male', 'c_felony', 'Age (decade)_20.0', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.194,0.886,,,0.2,0.913,0.191,0.871
"frozenset({'Age (decade)_30.0', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.23,0.885,,,0.243,0.935,,
frozenset({'male'}),frozenset({'risk_low'}),,,0.712,0.884,,,0.755,0.938,0.648,0.805
"frozenset({'male', 'n_white', 'juv_fel=0', 'juv_misd=0', 'c_felony'})",frozenset({'risk_low'}),,,0.25,0.883,,,0.283,1.0,,
frozenset({'Age (decade)_20.0'}),frozenset({'risk_low'}),,,0.384,0.883,,,0.385,0.885,0.37,0.85
"frozenset({'male', 'n_white', 'juv_misd=0', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,0.182,0.882,,,0.206,1.0,0.177,0.858
"frozenset({'male', 'Age (decade)_30.0', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.176,0.881,,,0.189,0.946,,
"frozenset({'male', 'c_felony', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.204,0.881,,,0.209,0.904,0.197,0.85
"frozenset({'n_white', 'c_misdemeanor'})",frozenset({'risk_low'}),,,0.162,0.879,,,0.184,1.0,0.152,0.824
"frozenset({'c_felony', 'n_white', 'juv_misd=0', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,0.156,0.878,,,0.177,1.0,0.152,0.856
"frozenset({'male', 'n_white', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.382,0.877,,,0.435,1.0,,
"frozenset({'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.483,0.876,,,0.551,1.0,,
"frozenset({'Age (decade)_30.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.233,0.876,,,0.249,0.935,,
"frozenset({'Age (decade)_20.0', 'juv_fel=0', 'n_white'})",frozenset({'risk_low'}),,,0.235,0.875,,,0.269,1.0,0.226,0.841
"frozenset({'recidive', 'Age (decade)_20.0', 'juv_fel=0', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.181,0.874,,,0.179,0.864,0.175,0.846
frozenset({'c_felony'}),frozenset({'risk_low'}),,,0.57,0.874,,,0.592,0.907,,
"frozenset({'male', 'Age (decade)_30.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.178,0.873,,,0.193,0.944,,
"frozenset({'c_felony', 'n_white', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.317,0.871,,,0.364,1.0,,
"frozenset({'c_felony', 'n_white', 'juv_fel=0', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,0.162,0.869,,,0.186,1.0,0.154,0.826
"frozenset({'recidive', 'juv_fel=0', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.374,0.869,,,0.378,0.878,,
"frozenset({'c_felony', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,0.259,0.869,,,0.261,0.876,0.25,0.842
"frozenset({'male', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,0.306,0.868,,,0.324,0.918,0.294,0.835
"frozenset({'male', 'recidive', 'juv_fel=0', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.308,0.867,,,0.321,0.902,,
"frozenset({'male', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.39,0.866,,,0.45,1.0,,
"frozenset({'male', 'c_felony'})",frozenset({'risk_low'}),,,0.461,0.865,,,0.493,0.925,,
"frozenset({'recidive', 'Age (decade)_20.0', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.189,0.861,,,0.189,0.861,0.182,0.832
"frozenset({'c_felony', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.322,0.861,,,0.375,1.0,,
"frozenset({'male', 'n_white', 'juv_fel=0', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,0.191,0.861,,,0.222,1.0,0.183,0.826
"frozenset({'male', 'c_felony', 'n_white', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.259,0.86,,,0.301,1.0,,
"frozenset({'male', 'c_felony', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,0.212,0.854,,,0.224,0.902,0.206,0.83
"frozenset({'male', 'c_felony', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.264,0.852,,,0.311,1.0,,
"frozenset({'male', 'recidive', 'Age (decade)_20.0', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.155,0.849,,,0.162,0.884,0.151,0.828
"frozenset({'recidive', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.386,0.849,,,0.398,0.875,,
frozenset({'Age (decade)_30.0'}),frozenset({'risk_low'}),,,0.236,0.848,,,0.26,0.932,,
"frozenset({'Age (decade)_20.0', 'n_white'})",frozenset({'risk_low'}),,,0.244,0.847,,,0.288,1.0,0.237,0.823
frozenset({'n_white'}),frozenset({'risk_low'}),,,0.495,0.846,,,0.586,1.0,,
"frozenset({'recidive', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.202,0.844,,,0.206,0.862,0.193,0.807
"frozenset({'recidive', 'juv_fel=0', 'juv_misd=0', 'c_felony'})",frozenset({'risk_low'}),,,0.248,0.843,,,0.254,0.862,,
"frozenset({'male', 'recidive', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.319,0.843,,,0.34,0.897,,
"frozenset({'male', 'juv_fel=0', 'recidive', 'juv_misd=0', 'c_felony'})",frozenset({'risk_low'}),,,0.205,0.84,,,0.218,0.891,,
"frozenset({'recidive', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.398,0.84,,,0.414,0.874,,
"frozenset({'male', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,0.182,0.837,,,0.204,0.94,,
"frozenset({'c_felony', 'Age (decade)_20.0', 'n_white'})",frozenset({'risk_low'}),,,0.17,0.837,,,0.203,1.0,0.164,0.807
"frozenset({'recidive', 'n_white', 'juv_fel=0', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.223,0.835,,,0.267,1.0,,
"frozenset({'male', 'recidive', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.33,0.835,,,0.354,0.897,,
"frozenset({'male', 'n_white', 'juv_fel=0', 'recidive', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.19,0.831,,,0.228,1.0,,
"frozenset({'male', 'n_white'})",frozenset({'risk_low'}),,,0.401,0.83,,,0.482,1.0,,
"frozenset({'c_felony', 'n_white'})",frozenset({'risk_low'}),,,0.333,0.83,,,0.402,1.0,,
"frozenset({'male', 'Age (decade)_20.0', 'n_white'})",frozenset({'risk_low'}),,,0.198,0.83,,,0.239,1.0,0.192,0.805
"frozenset({'male', 'recidive', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,0.166,0.83,,,0.177,0.884,0.161,0.803
"frozenset({'recidive', 'juv_misd=0', 'c_felony'})",frozenset({'risk_low'}),,,0.258,0.822,,,0.269,0.858,,
"frozenset({'recidive', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,0.209,0.821,,,0.22,0.862,,
"frozenset({'n_white', 'juv_fel=0', 'recidive', 'juv_misd=0', 'c_felony'})",frozenset({'risk_low'}),,,0.155,0.817,,,0.19,1.0,,
"frozenset({'recidive', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),,,0.266,0.817,,,0.279,0.855,,
"frozenset({'male', 'c_felony', 'n_white'})",frozenset({'risk_low'}),,,0.274,0.816,,,0.336,1.0,,
"frozenset({'male', 'recidive', 'juv_misd=0', 'c_felony'})",frozenset({'risk_low'}),,,0.214,0.814,,,0.233,0.885,,
frozenset({'recidive'}),frozenset({'risk_low'}),,,0.41,0.813,,,0.44,0.873,,
"frozenset({'male', 'recidive', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),,,0.222,0.812,,,0.241,0.881,,
"frozenset({'recidive', 'n_white', 'juv_misd=0'})",frozenset({'risk_low'}),,,0.231,0.809,,,0.286,1.0,,
"frozenset({'male', 'recidive', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,0.173,0.806,,,0.19,0.882,,
"frozenset({'male', 'recidive'})",frozenset({'risk_low'}),,,0.34,0.804,,,0.378,0.894,,
frozenset({'priors_Many'}),frozenset({'risk_high'}),,,,,0.197,0.901,,,0.176,0.802
"frozenset({'male', 'priors_Many'})",frozenset({'risk_high'}),,,,,0.169,0.891,,,0.154,0.814
"frozenset({'priors_Many', 'juv_fel=0'})",frozenset({'risk_high'}),,,,,0.171,0.888,,,,
"frozenset({'priors_Many', 'juv_misd=0'})",frozenset({'risk_high'}),,,,,0.16,0.886,,,,
"frozenset({'recidive', 'Age (decade)_20.0', 'c_felony'})",frozenset({'risk_high'}),,,,,0.157,0.855,,,,
"frozenset({'male', 'recidive', 'n_white', 'c_felony'})",frozenset({'risk_high'}),,,,,0.168,0.814,,,,
"frozenset({'recidive', 'n_white', 'c_felony'})",frozenset({'risk_high'}),,,,,0.19,0.805,,,,
"frozenset({'male', 'recidive', 'c_felony'})",frozenset({'risk_high'}),,,,,0.238,0.804,,,,
"frozenset({'recidive', 'c_felony'})",frozenset({'risk_high'}),,,,,0.281,0.802,,,,
"frozenset({'juv_misd=0', 'n_white', 'juv_fel=0', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,0.151,1.0,,
"frozenset({'priors_Many', 'n_white'})",frozenset({'risk_low'}),,,,,,,0.163,1.0,,
"frozenset({'n_white', 'juv_misd=0', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,0.158,1.0,,
"frozenset({'n_white', 'Age (decade)_30.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,0.163,1.0,,
"frozenset({'n_white', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,0.173,1.0,,
"frozenset({'recidive', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,0.299,1.0,,
"frozenset({'recidive', 'priors_Few', 'n_white'})",frozenset({'risk_low'}),,,,,,,0.153,1.0,0.153,1.0
"frozenset({'recidive', 'n_white'})",frozenset({'risk_low'}),,,,,,,0.324,1.0,,
"frozenset({'n_white', 'juv_fel=0', 'juv_misd=0', 'c_felony', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,0.166,1.0,,
"frozenset({'male', 'c_felony', 'n_white', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,0.173,1.0,,
"frozenset({'male', 'n_white', 'juv_fel=0', 'c_felony', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,0.159,1.0,,
"frozenset({'recidive', 'n_white', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,0.182,1.0,,
"frozenset({'recidive', 'n_white', 'juv_fel=0', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,0.169,1.0,,
"frozenset({'recidive', 'n_white', 'juv_misd=0', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,0.155,1.0,,
"frozenset({'male', 'recidive', 'n_white', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,0.158,1.0,,
"frozenset({'priors_Few', 'Age (decade)_20.0', 'n_white'})",frozenset({'risk_low'}),,,,,,,0.155,1.0,0.155,1.0
"frozenset({'male', 'priors_Few', 'n_white', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,0.155,1.0,0.155,1.0
"frozenset({'male', 'priors_Few', 'n_white', 'juv_misd=0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,0.152,1.0,0.152,1.0
"frozenset({'recidive', 'n_white', 'c_felony'})",frozenset({'risk_low'}),,,,,,,0.236,1.0,,
"frozenset({'recidive', 'n_white', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,0.215,1.0,,
"frozenset({'recidive', 'n_white', 'juv_misd=0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,0.205,1.0,,
"frozenset({'male', 'n_white', 'recidive', 'juv_misd=0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,0.179,1.0,,
"frozenset({'male', 'n_white', 'juv_fel=0', 'recidive', 'juv_misd=0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,0.164,1.0,,
"frozenset({'male', 'recidive', 'n_white', 'c_felony'})",frozenset({'risk_low'}),,,,,,,0.207,1.0,,
"frozenset({'male', 'n_white', 'juv_fel=0', 'recidive', 'c_felony'})",frozenset({'risk_low'}),,,,,,,0.187,1.0,,
"frozenset({'male', 'recidive', 'n_white'})",frozenset({'risk_low'}),,,,,,,0.281,1.0,,
"frozenset({'male', 'recidive', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,0.257,1.0,,
"frozenset({'male', 'recidive', 'n_white', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,0.247,1.0,,
"frozenset({'c_felony', 'Age (decade)_30.0', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,0.153,0.925,,
"frozenset({'c_felony', 'Age (decade)_30.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,0.159,0.922,,
"frozenset({'c_felony', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,0.166,0.919,,
"frozenset({'male', 'juv_fel=0', 'recidive', 'juv_misd=0', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,0.152,0.889,,
"frozenset({'male', 'recidive', 'c_felony'})",frozenset({'risk_low'}),,,,,,,0.26,0.878,,
"frozenset({'male', 'priors_Many'})",frozenset({'risk_low'}),,,,,,,0.166,0.874,,
"frozenset({'recidive', 'c_felony'})",frozenset({'risk_low'}),,,,,,,0.3,0.855,,
frozenset({'priors_Many'}),frozenset({'risk_low'}),,,,,,,0.185,0.844,,
"frozenset({'recidive', 'Age (decade)_20.0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,0.154,0.84,,
"frozenset({'priors_Many', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,0.162,0.837,,
"frozenset({'priors_Many', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,0.151,0.835,,
"frozenset({'c_felony', 'priors_Few', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.155,1.0
"frozenset({'recidive', 'priors_Few', 'juv_misd=0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.16,1.0
"frozenset({'priors_Few', 'juv_fel=0', 'recidive', 'juv_misd=0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.151,1.0
