antecedents,consequents,orig_support,orig_confidence,Decision Tree_support,Decision Tree_confidence,Logistic Regression_support,Logistic Regression_confidence,Random Forest_support,Random Forest_confidence,KNN_support,KNN_confidence,support,confidence
"frozenset({'juv_misd=0', 'c_felony', 'n_white', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.178,0.997,0.178,0.997
"frozenset({'n_white', 'c_misdemeanor', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.174,0.997,0.174,0.997
"frozenset({'n_white', 'c_misdemeanor', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.173,0.997,0.173,0.997
"frozenset({'n_white', 'juv_misd=0', 'Age (decade)_20.0', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.167,0.997,0.167,0.997
"frozenset({'n_white', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.498,0.997,0.498,0.997
"frozenset({'juv_misd=0', 'c_felony', 'juv_fel=0', 'male', 'n_white', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.165,0.997,0.165,0.997
"frozenset({'n_white', 'recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.158,0.997,0.158,0.997
"frozenset({'n_white', 'Age (decade)_20.0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.157,0.997,0.157,0.997
"frozenset({'juv_misd=0', 'recidive', 'n_white', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.154,0.997,0.154,0.997
"frozenset({'n_white', 'juv_fel=0', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.153,0.996,0.153,0.996
"frozenset({'n_white', 'juv_misd=0', 'recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.146,0.996,0.146,0.996
"frozenset({'n_white', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,,,0.292,0.996,0.292,0.996
"frozenset({'n_white', 'priors_Many', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.144,0.996,0.144,0.996
"frozenset({'n_white', 'Age (decade)_20.0', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.144,0.996,0.144,0.996
"frozenset({'n_white', 'juv_misd=0', 'Age (decade)_20.0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.144,0.996,0.144,0.996
"frozenset({'n_white', 'recidive', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.144,0.996,0.144,0.996
"frozenset({'n_white', 'priors_Many', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.143,0.996,0.143,0.996
"frozenset({'n_white', 'juv_misd=0', 'juv_fel=0', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.143,0.996,0.143,0.996
"frozenset({'n_white', 'juv_misd=0', 'juv_fel=0', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.143,0.996,0.143,0.996
"frozenset({'n_white', 'juv_fel=0', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.143,0.996,0.143,0.996
"frozenset({'n_white', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.143,0.996,0.143,0.996
"frozenset({'n_white', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.143,0.996,0.143,0.996
"frozenset({'n_white', 'juv_misd=0', 'c_misdemeanor', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.142,0.996,0.142,0.996
"frozenset({'n_white', 'juv_misd=0', 'recidive', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.279,0.996,0.279,0.996
"frozenset({'n_white', 'c_felony', 'Age (decade)_20.0', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.139,0.996,0.139,0.996
"frozenset({'n_white', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.272,0.996,0.272,0.996
"frozenset({'juv_misd=0', 'priors_Few', 'juv_fel=0', 'n_white', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.134,0.996,0.134,0.996
"frozenset({'juv_misd=0', 'priors_Few', 'n_white', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.132,0.996,0.132,0.996
"frozenset({'n_white', 'juv_misd=0', 'male', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.264,0.996,0.264,0.996
"frozenset({'n_white', 'juv_misd=0', 'male', 'priors_Many'})",frozenset({'risk_low'}),,,,,,,,,0.131,0.996,0.131,0.996
"frozenset({'juv_misd=0', 'c_felony', 'n_white', 'Age (decade)_20.0', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.125,0.996,0.125,0.996
"frozenset({'c_felony', 'recidive', 'n_white', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.124,0.996,0.124,0.996
"frozenset({'n_white', 'male', 'juv_fel=0', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.124,0.996,0.124,0.996
"frozenset({'n_white', 'c_felony', 'Age (decade)_20.0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.121,0.996,0.121,0.996
frozenset({'n_white'}),frozenset({'risk_low'}),,,,,,,,,0.598,0.995,0.598,0.995
"frozenset({'n_white', 'recidive', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.238,0.995,0.238,0.995
"frozenset({'n_white', 'c_felony', 'recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.114,0.995,0.114,0.995
"frozenset({'juv_misd=0', 'Age (decade)_30.0', 'male', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.114,0.995,0.114,0.995
"frozenset({'juv_misd=0', 'c_felony', 'recidive', 'n_white', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.113,0.995,0.113,0.995
"frozenset({'n_white', 'c_felony', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.112,0.995,0.112,0.995
"frozenset({'juv_misd=0', 'priors_Few', 'c_felony', 'n_white', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,,,0.111,0.995,0.111,0.995
"frozenset({'priors_Few', 'c_felony', 'n_white', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.109,0.995,0.109,0.995
"frozenset({'n_white', 'Age (decade)_20.0', 'recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.107,0.995,0.107,0.995
"frozenset({'n_white', 'juv_misd=0', 'recidive', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.214,0.995,0.214,0.995
"frozenset({'n_white', 'recidive', 'priors_Many', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.106,0.995,0.106,0.995
"frozenset({'n_white', 'c_felony', 'recidive', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.211,0.995,0.211,0.995
"frozenset({'juv_misd=0', 'priors_Few', 'c_felony', 'n_white', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.105,0.995,0.105,0.995
"frozenset({'n_white', 'juv_misd=0', 'priors_Many', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.105,0.995,0.105,0.995
"frozenset({'n_white', 'juv_misd=0', 'male', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.104,0.995,0.104,0.995
"frozenset({'n_white', 'male', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.104,0.995,0.104,0.995
"frozenset({'n_white', 'male', 'juv_fel=0', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.104,0.995,0.104,0.995
"frozenset({'juv_misd=0', 'priors_No', 'male', 'n_white', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.104,0.995,0.104,0.995
"frozenset({'n_white', 'juv_misd=0', 'c_felony', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.103,0.995,0.103,0.995
"frozenset({'n_white', 'c_felony', 'juv_fel=0', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.102,0.995,0.102,0.995
"frozenset({'n_white', 'recidive', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.304,0.995,0.304,0.995
"frozenset({'n_white', 'recidive', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.302,0.995,0.302,0.995
"frozenset({'priors_Few', 'c_felony', 'juv_fel=0', 'n_white', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.1,0.995,0.1,0.995
"frozenset({'juv_misd=0', 'priors_Few', 'c_felony', 'n_white', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.1,0.995,0.1,0.995
"frozenset({'n_white', 'male', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.293,0.994,0.293,0.994
"frozenset({'juv_misd=0', 'c_felony', 'juv_fel=0', 'n_white', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.193,0.994,0.193,0.994
"frozenset({'n_white', 'Age (decade)_20.0', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.185,0.994,0.185,0.994
"frozenset({'recidive', 'n_white', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.169,0.994,0.169,0.994
"frozenset({'n_white', 'juv_misd=0', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.153,0.993,0.153,0.993
"frozenset({'n_white', 'male', 'priors_Many'})",frozenset({'risk_low'}),,,,,,,,,0.152,0.993,0.152,0.993
"frozenset({'n_white', 'c_misdemeanor', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.151,0.993,0.151,0.993
"frozenset({'n_white', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.333,0.992,0.333,0.992
"frozenset({'n_white', 'juv_misd=0', 'male', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.124,0.991,0.124,0.991
"frozenset({'n_white', 'c_misdemeanor'})",frozenset({'risk_low'}),,,,,,,,,0.182,0.991,0.182,0.991
"frozenset({'n_white', 'male', 'recidive', 'priors_Many'})",frozenset({'risk_low'}),,,,,,,,,0.113,0.991,0.113,0.991
"frozenset({'n_white', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.166,0.99,0.166,0.99
"frozenset({'n_white', 'priors_Many'})",frozenset({'risk_low'}),,,,,,,,,0.166,0.99,0.166,0.99
"frozenset({'n_white', 'male', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.137,0.988,0.137,0.988
"frozenset({'n_recidive', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.132,0.988,0.132,0.988
"frozenset({'n_white', 'priors_Many', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.123,0.987,0.123,0.987
"frozenset({'c_misdemeanor', 'juv_fel=0', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.115,0.986,0.115,0.986
"frozenset({'c_misdemeanor', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.115,0.986,0.115,0.986
"frozenset({'juv_misd=0', 'c_misdemeanor', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.115,0.986,0.115,0.986
"frozenset({'juv_misd=0', 'c_misdemeanor', 'juv_fel=0', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.115,0.986,0.115,0.986
frozenset({'Age (decade)_50.0'}),frozenset({'risk_low'}),,,,,,,,,0.117,0.982,0.117,0.982
"frozenset({'juv_misd=0', 'Age (decade)_50.0'})",frozenset({'risk_low'}),,,,,,,,,0.117,0.982,0.117,0.982
"frozenset({'Age (decade)_50.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.117,0.982,0.117,0.982
"frozenset({'juv_misd=0', 'Age (decade)_50.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.117,0.982,0.117,0.982
"frozenset({'c_felony', 'n_recidive', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.226,0.981,0.226,0.981
"frozenset({'juv_misd=0', 'n_recidive', 'male', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.224,0.981,0.224,0.981
"frozenset({'juv_misd=0', 'c_felony', 'n_recidive', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.221,0.981,0.221,0.981
"frozenset({'c_felony', 'n_recidive', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.23,0.979,0.23,0.979
"frozenset({'c_felony', 'n_recidive', 'male', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.121,0.974,0.121,0.974
"frozenset({'priors_Few', 'c_felony', 'n_recidive', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.12,0.974,0.12,0.974
"frozenset({'juv_misd=0', 'n_recidive', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.358,0.973,0.358,0.973
"frozenset({'juv_misd=0', 'priors_Few', 'c_felony', 'n_recidive', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.118,0.973,0.118,0.973
"frozenset({'juv_misd=0', 'priors_Few', 'c_felony', 'n_recidive', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.117,0.973,0.117,0.973
"frozenset({'n_recidive', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.359,0.972,0.359,0.972
"frozenset({'c_felony', 'n_recidive', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.292,0.969,0.292,0.969
"frozenset({'juv_misd=0', 'n_recidive', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.292,0.969,0.292,0.969
"frozenset({'juv_misd=0', 'n_recidive', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.287,0.969,0.287,0.969
"frozenset({'Age (decade)_40.0', 'juv_fel=0', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.1,0.969,0.1,0.969
"frozenset({'n_recidive', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.366,0.968,0.366,0.968
"frozenset({'juv_misd=0', 'n_recidive', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.464,0.968,0.464,0.968
"frozenset({'c_felony', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.298,0.968,0.298,0.968
"frozenset({'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.471,0.968,0.471,0.968
"frozenset({'c_felony', 'n_recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.159,0.967,0.159,0.967
"frozenset({'c_felony', 'n_recidive', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.157,0.967,0.157,0.967
"frozenset({'juv_misd=0', 'juv_fel=0', 'priors_Few', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.124,0.966,0.124,0.966
"frozenset({'n_recidive', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.471,0.966,0.471,0.966
"frozenset({'Age (decade)_40.0', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.104,0.965,0.104,0.965
"frozenset({'juv_misd=0', 'Age (decade)_40.0', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.103,0.964,0.103,0.964
"frozenset({'Age (decade)_40.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.128,0.963,0.128,0.963
"frozenset({'juv_misd=0', 'Age (decade)_40.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.127,0.963,0.127,0.963
frozenset({'n_recidive'}),frozenset({'risk_low'}),,,,,,,,,0.48,0.963,0.48,0.963
"frozenset({'n_recidive', 'male', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.196,0.963,0.196,0.963
frozenset({'Age (decade)_40.0'}),frozenset({'risk_low'}),,,,,,,,,0.131,0.96,0.131,0.96
"frozenset({'juv_misd=0', 'Age (decade)_40.0'})",frozenset({'risk_low'}),,,,,,,,,0.131,0.96,0.131,0.96
"frozenset({'juv_misd=0', 'juv_fel=0', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.26,0.96,0.26,0.96
frozenset({'priors_No'}),frozenset({'risk_low'}),,,,,,,,,0.26,0.96,0.26,0.96
"frozenset({'juv_fel=0', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.26,0.96,0.26,0.96
"frozenset({'juv_misd=0', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.26,0.96,0.26,0.96
"frozenset({'n_recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.244,0.959,0.244,0.959
"frozenset({'juv_fel=0', 'priors_Few', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.126,0.959,0.126,0.959
"frozenset({'juv_misd=0', 'priors_Few', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.124,0.958,0.124,0.958
"frozenset({'juv_misd=0', 'priors_Few', 'c_felony', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.229,0.957,0.229,0.957
"frozenset({'juv_misd=0', 'male', 'juv_fel=0', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.183,0.955,0.183,0.955
"frozenset({'n_recidive', 'c_misdemeanor'})",frozenset({'risk_low'}),,,,,,,,,0.182,0.955,0.182,0.955
"frozenset({'juv_misd=0', 'male', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.36,0.954,0.36,0.954
"frozenset({'juv_misd=0', 'male', 'priors_Few', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.241,0.953,0.241,0.953
"frozenset({'juv_misd=0', 'c_misdemeanor', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.153,0.953,0.153,0.953
"frozenset({'male', 'juv_fel=0', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.193,0.952,0.193,0.952
"frozenset({'priors_Few', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.127,0.951,0.127,0.951
"frozenset({'n_recidive', 'male', 'c_misdemeanor'})",frozenset({'risk_low'}),,,,,,,,,0.136,0.951,0.136,0.951
"frozenset({'c_felony', 'male', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.24,0.951,0.24,0.951
"frozenset({'juv_misd=0', 'female', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.113,0.95,0.113,0.95
"frozenset({'juv_misd=0', 'female', 'juv_fel=0', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.112,0.95,0.112,0.95
"frozenset({'male', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.377,0.95,0.377,0.95
"frozenset({'juv_misd=0', 'c_misdemeanor', 'priors_Few', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.132,0.949,0.132,0.949
"frozenset({'c_felony', 'male', 'juv_fel=0', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.111,0.949,0.111,0.949
"frozenset({'juv_misd=0', 'c_felony', 'priors_No', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.111,0.949,0.111,0.949
"frozenset({'c_felony', 'male', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.111,0.949,0.111,0.949
"frozenset({'juv_misd=0', 'male', 'priors_No', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.111,0.949,0.111,0.949
"frozenset({'c_misdemeanor', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.159,0.948,0.159,0.948
"frozenset({'juv_misd=0', 'c_misdemeanor', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.306,0.948,0.306,0.948
"frozenset({'juv_misd=0', 'male', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.375,0.948,0.375,0.948
"frozenset({'c_misdemeanor', 'male', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.138,0.948,0.138,0.948
"frozenset({'c_felony', 'male', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.253,0.947,0.253,0.947
"frozenset({'female', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.113,0.946,0.113,0.946
"frozenset({'female', 'juv_fel=0', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.112,0.945,0.112,0.945
"frozenset({'juv_misd=0', 'juv_fel=0', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.23,0.944,0.23,0.944
"frozenset({'juv_misd=0', 'c_misdemeanor', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.154,0.944,0.154,0.944
"frozenset({'juv_misd=0', 'Age (decade)_30.0', 'c_felony', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.117,0.943,0.117,0.943
"frozenset({'c_felony', 'male', 'juv_fel=0', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.124,0.942,0.124,0.942
"frozenset({'juv_misd=0', 'c_misdemeanor', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.239,0.942,0.239,0.942
"frozenset({'c_misdemeanor', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.316,0.942,0.316,0.942
"frozenset({'male', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.393,0.942,0.393,0.942
"frozenset({'juv_misd=0', 'priors_Few', 'c_felony', 'recidive', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.112,0.941,0.112,0.941
"frozenset({'juv_misd=0', 'priors_Few', 'juv_fel=0', 'male', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.172,0.941,0.172,0.941
"frozenset({'c_misdemeanor', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.249,0.941,0.249,0.941
"frozenset({'juv_fel=0', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.24,0.941,0.24,0.941
"frozenset({'juv_misd=0', 'juv_fel=0', 'priors_No', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.144,0.94,0.144,0.94
"frozenset({'c_felony', 'juv_fel=0', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.144,0.94,0.144,0.94
"frozenset({'juv_misd=0', 'priors_No', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.144,0.94,0.144,0.94
"frozenset({'c_felony', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.144,0.94,0.144,0.94
"frozenset({'juv_misd=0', 'c_misdemeanor'})",frozenset({'risk_low'}),,,,,,,,,0.312,0.94,0.312,0.94
"frozenset({'juv_misd=0', 'c_misdemeanor', 'male', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.133,0.939,0.133,0.939
"frozenset({'juv_misd=0', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.674,0.939,0.674,0.939
"frozenset({'juv_misd=0', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.44,0.939,0.44,0.939
"frozenset({'Age (decade)_20.0', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.131,0.938,0.131,0.938
"frozenset({'Age (decade)_20.0', 'juv_fel=0', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.131,0.938,0.131,0.938
"frozenset({'juv_misd=0', 'Age (decade)_20.0', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.131,0.938,0.131,0.938
"frozenset({'juv_misd=0', 'Age (decade)_20.0', 'juv_fel=0', 'priors_No'})",frozenset({'risk_low'}),,,,,,,,,0.131,0.938,0.131,0.938
"frozenset({'juv_misd=0', 'male', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.435,0.937,0.435,0.937
"frozenset({'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.707,0.937,0.707,0.937
"frozenset({'juv_misd=0', 'male', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.192,0.937,0.192,0.937
"frozenset({'c_felony', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.458,0.935,0.458,0.935
"frozenset({'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.457,0.935,0.457,0.935
"frozenset({'juv_misd=0', 'priors_Few', 'c_felony', 'male', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.124,0.934,0.124,0.934
"frozenset({'juv_misd=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.455,0.934,0.455,0.934
"frozenset({'c_misdemeanor', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.162,0.934,0.162,0.934
"frozenset({'recidive', 'male', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.184,0.934,0.184,0.934
"frozenset({'juv_misd=0', 'c_misdemeanor', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.246,0.932,0.246,0.932
"frozenset({'c_misdemeanor', 'male', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.14,0.931,0.14,0.931
"frozenset({'male', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.206,0.931,0.206,0.931
"frozenset({'juv_misd=0', 'juv_fel=0', 'priors_Few', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.287,0.931,0.287,0.931
"frozenset({'juv_misd=0', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.705,0.931,0.705,0.931
"frozenset({'juv_misd=0', 'male', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.459,0.931,0.459,0.931
"frozenset({'juv_misd=0', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.24,0.931,0.24,0.931
frozenset({'c_misdemeanor'}),frozenset({'risk_low'}),,,,,,,,,0.324,0.93,0.324,0.93
"frozenset({'juv_misd=0', 'priors_Few', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.3,0.93,0.3,0.93
"frozenset({'juv_misd=0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.845,0.929,0.845,0.929
"frozenset({'juv_misd=0', 'juv_fel=0', 'c_felony', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.149,0.929,0.149,0.929
frozenset({'priors_Few'}),frozenset({'risk_low'}),,,,,,,,,0.474,0.929,0.474,0.929
"frozenset({'juv_misd=0', 'male', 'recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.184,0.929,0.184,0.929
"frozenset({'priors_Few', 'c_felony', 'juv_fel=0', 'male', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.119,0.928,0.119,0.928
"frozenset({'c_felony', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.488,0.928,0.488,0.928
"frozenset({'c_felony', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.298,0.927,0.298,0.927
frozenset({'male'}),frozenset({'risk_low'}),,,,,,,,,0.745,0.927,0.745,0.927
"frozenset({'juv_misd=0', 'n_recidive', 'male', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,,,0.11,0.927,0.11,0.927
"frozenset({'juv_misd=0', 'male', 'c_felony', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.124,0.927,0.124,0.927
